SAN FRANCISCO
-------------
 
DATE
----
871219
871220
871221
871222
871223
871224
871225
871226
871227
871228
871229
871230
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1     3534     1594             5128    33.45    10.56            44.00
  2     3432     1618             5050    28.69    11.50            40.19
  3     3389     1584             4973    24.24    10.06            34.31
  4     1726      692             2418    13.20     4.56            17.77
  5      980      181             1161     7.72     3.15            10.88
  6     1025      143             1168     9.26     2.37            11.63
  7      918      135             1053     8.45     1.04             9.50
  8      863      175             1038     8.14     2.84            10.97
  9      915       50              965    10.60     0.61            11.20
 10      765       21              786     9.49     0.21             9.70
 11      592       18              610     5.42     0.16             5.58
 12      546       43              589     4.36     0.33             4.69
 13      617      209              826     5.07     1.62             6.69
 14      785      186              971     7.98     1.82             9.80
 15     1256     1333             2589    18.07    10.28            28.35
 16     2749     1976             4725    33.52    17.68            51.20
 17     3873     2364             6237    42.20    17.66            59.87
 18     3901     2369             6270    39.58    16.79            56.37
 19     4776     3033             7809    41.38    21.47            62.84
 20     5765     3378             9143    44.80    25.28            70.07
 21     4826     2512             7338    41.31    18.70            60.01
 22     5431     2463             7894    43.37    21.19            64.57
 23     5536     2293             7829    45.25    17.30            62.55
 24     5246     2252             7498    39.33    14.87            54.19
  1     5076     1393             6469    35.60     8.96            44.56
  2     5065     1412             6477    34.53     9.53            44.05
  3     5035     1384             6419    32.36     8.83            41.19
  4     4679     1311             5990    30.39     8.30            38.70
  5     2591     1334             3925    16.70     9.95            26.65
  6     2555     1310             3865    18.33     8.51            26.85
  7     2470     1288             3758    16.08     9.20            25.28
  8     2440     1311             3751    16.21     9.61            25.82
  9     2481      630             3111    18.69     4.29            22.98
 10     2149       11             2160    16.77     0.31            17.08
 11      667       14              681     4.87     0.17             5.04
 12     1488       70             1558     9.43     0.66            10.09
 13     1844      732             2576    11.40     4.76            16.16
 14     1890      946             2836    11.56     6.71            18.27
 15     1901      984             2885    12.21     7.10            19.31
 16     1975     1101             3076    13.71     7.23            20.94
 17     2636     1148             3784    22.17     7.35            29.52
 18     3507     1308             4815    27.06     8.53            35.59
 19     3526     1456             4982    26.02    10.45            36.47
 20     5288     1514             6802    37.44    11.89            49.33
 21     4573     1503             6076    33.87    10.70            44.57
 22     3829      789             4618    28.84     5.67            34.51
 23     3824      800             4624    27.95     6.38            34.34
 24     3487      735             4222    25.63     5.32            30.94
  1     3382      532             3914    23.22     3.65            26.87
  2     2233      397             2630    15.66     3.49            19.15
  3     2017      399             2416    13.28     5.00            18.28
  4     2020      317             2337    14.82     4.94            19.76
  5     1954      325             2279    13.83     5.18            19.02
  6     1962      210             2172    14.20     3.31            17.51
  7     1923       39             1962    12.80     1.41            14.21
  8     1026       95             1121     7.79     2.20             9.99
  9     1012       13             1025     9.92     0.30            10.21
 10      989       11             1000     9.54     0.15             9.68
