202-523     662    1338     421     184     383    1254    2083    7566    2306           1           1           1           0WASH      78   100.391662000.60834000236
202-245     104     210      66      29      60     195     324    1262     359           1           1           1           0WASH      67    90.886211000.11383700236
301-443      10      21       6       3       6      19      32     133      35           1           1           1           0BETH      57    80.986626000.01337400236
312-353     350     707     222      97     199     651    1078    4604    1196           1           1           1           0CHIC      56    80.529262000.47074300358
214-767     373     753     237     104     212     689    1146    4970    1270           1           1           1           0DALL      54    80.483399000.51762400552
206-442     295     596     187      82     168     547     908    3945    1005           1           1           1           0SEAT      54    80.587435000.41256500674
212-264     330     667     210      92     187     608    1012    4523    1121           1           1           1           0NY        52    80.512693000.48730700132
415-556     323     652     205      90     182     592     988    4506    1093           1           1           1           0SANF      50    80.502189000.49782600722
404-331     298     602     189      83     168     549     912    4166    1009           1           1           1           0ATLA      50    80.539067000.46093300438
205-221     296     599     188      83     166     542     900    4303     997           1           1           1           0JASPER    46    70.502065000.49793500476
215-597     305     618     194      85     169     553     922    4700    1020           1           1           1           0PHIL      42    70.423704000.57629600   
617-223     253     511     161      70     140     457     758    3981     840           1           1           1           0BOST      40    70.500090000.49991000128
202-357     307     620     195      85     168     549     911    5070    1010           1           1           1           0WASH      37    60.335009000.66499100236
301-469       6      12       4       2       3      11      18     102      20           1           1           1           0BETH      37    60.986585000.01341500236
202-822     227     459     144      63     125     406     674    3782     747           1           1           1           0WASH      37    60.500990000.49901000236
505-844     129     261      82      36      70     229     383    2202     423           1           1           1           0ALBU      36    60.703737000.29628400664
213-894     281     568     179      78     153     501     832    4800     921           1           1           1           0LOSA      36    60.352960000.64704000730
202-426      15      31      10       4       8      27      45     263      50           1           1           1           0WASH      35    60.964510000.03549000236
303-236     160     323     101      44      87     283     470    2764     522           1           1           1           0DENV      35    60.627048000.37683900656
503-221     148     300      94      41      80     262     434    2638     482           1           1           1           0PORTLAN   34    60.633030000.36697000672
303-844     121     245      77      34      65     213     355    2155     393           1           1           1           0DENV      33    60.700000000.30000000656
404-347     139     282      89      39      75     245     406    2547     451           1           1           1           0ATLA      32    60.638994000.36100500438
313-226     217     439     138      60     116     379     630    4016     699           1           1           1           0DETR      32    60.424537000.57546300340
816-926     258     520     163      72     137     449     746    4852     826           1           1           1           0KANS      31    60.295563000.70443700524
402-221     128     259      81      36      68     223     371    2456     411           1           1           1           0OMAH      30    60.643066000.35983600644
202-453      84     170      54      24      45     146     243    1627     269           1           1           1           0WASH      30    50.759959000.24004100236
816-374     343     693     218      96     182     592     986    6715    1091           1           1           1           0KANS      29    50.000000001.00000000524
301-962     138     278      87      38      73     237     395    2704     438           1           1           1           0BALT      29    50.598429000.40304000238
504-589     179     361     113      50      94     309     514    3518     569           1           1           1           0NEWORLE   29    50.474864000.52542700490
804-441     328     664     208      92     173     563     938    6607    1038           1           1           1           0NORF      28    50.000000001.00000000252
415-974     186     374     117      52      97     317     528    3761     584           1           1           1           0SANF      28    50.427340000.57266000722
205-895     162     326     102      45      84     275     460    3307     509           1           1           1           0HUNTSVI   28    50.493608000.50639200477
505-766      75     152      48      21      39     129     215    1545     238           1           1           1           0ALBU      28    50.763363000.23663700664
904-791     314     634     199      87     163     534     890    6491     985           1           1           1           0JACKSVL   27    50.000000001.00000000452
615-251     141     285      89      39      74     241     398    2968     442           1           1           1           0NASHVIL   27    50.539071000.46092900474
216-522     193     389     122      54     101     326     544    4052     603           1           1           1           0CLEV      27    50.370144000.62985600320
405-231      95     193      61      26      49     161     268    2020     298           1           1           1           0OKLA      27    50.684772000.31522800536
202-835     302     609     192      84     157     512     851    6402     941           1           1           1           0WASH      27    50.000000001.00000000236
801-524     298     602     189      83     154     506     838    6370     927           1           1           1           0SALT      26    50.000000001.00000000660
217-492     126     254      80      35      65     214     354    2693     392           1           1           1           0SPRINGF   26    50.577302000.42269800374
703-265     142     285      90      40      73     238     396    3054     439           1           1           1           0ROANOKE   26    50.520115000.48181800244
314-374     149     302      95      42      77     251     419    3230     464           1           1           1           0GRAVOIS   26    50.490581000.50966100520
215-596     130     263      83      36      67     218     364    2856     402           1           1           1           0PHIL      25    50.545222000.45477800228
512-482     153     309      97      43      79     258     429    3380     473           1           1           1           0AUST      25    50.461084000.53987200558
703-875      41      82      26      11      21      68     113     894     125           1           1           1           0ALEX      25    50.857194000.14280600236
503-231       6      11       4       2       3      10      16     125      18           1           1           1           0PORTLAN   25    50.979947000.02005300672
202-724     276     558     176      76     143     463     769    6112     853           1           1           1           0WASH      25    50.022799000.97720100236
