NORRISTOWN
----------
 
DATE
----
871129
871130
871201
871202
871203
871204
871205
871206
871207
871208
871209
871210
                 LOGINS                          CONNECT TIME (HOURS)
    ---------------------------------- ----------------------------------------
 HR BAND0 BAND1 BAND2 BAND5     ROTARY  BAND0  BAND1  BAND2  BAND5       ROTARY
 -- ----- ----- ----- ----- ---------- ------ ------ ------ ------ ------------
  1  1068  1021  2082  1575       5746   7.14   8.19  15.19  16.23        46.75
  2  1056  1003  2053  1529       5641   6.47   6.98  13.99  13.87        41.31
  3  1061   989  2028  1492       5570   6.49   6.23  12.47  11.45        36.65
  4   607   935  1987  1464       4993   3.73   6.53  12.19  12.80        35.25
  5   327  1001  1995  1449       4772   2.68   8.13  12.41  12.87        36.08
  6    47   904  1985  1439       4375   0.35   5.96  12.18  11.39        29.88
  7    11   729  1049  1425       3214   0.12   4.58   6.44  11.27        22.42
  8    66   108   367  1275       1816   1.48   2.56   3.86   9.83        17.72
  9    17    63    31  1189       1300   0.31   1.29   0.68   8.45        10.74
 10     2     7    17   911        937   0.01   0.08   0.70   6.64         7.43
 11     2    14     5   245        266   0.01   0.14   0.13   4.26         4.54
 12    74    18    10    11        113   0.46   0.25   0.36   1.09         2.16
 13   245    71   743     0       1059   1.50   0.47   5.02   1.00         7.99
 14   293   837   988     9       2127   2.10   5.15   7.92   1.21        16.38
 15   653   948   987   187       2775   4.00   6.11   6.80   2.32        19.24
 16   652   964  1046   557       3219   3.99   7.33   7.34   5.91        24.57
 17   657   992  1061  1081       3791   4.06   9.05   8.70  10.37        32.18
 18   677  1008  1090  1125       3900   4.33   8.97   8.62  10.38        32.30
 19   667  1035  1095  1169       3966   4.97   9.20   8.26  13.00        35.42
 20   669  1058  1105  1180       4012   5.16   9.11   8.98  13.85        37.11
 21   677  1055  1098  1184       4014   4.51   8.79   9.58  12.71        35.59
 22   564  1053  1112  1208       3937   4.59   8.67  10.09  12.06        35.42
 23   421  1026  1083  1196       3726   4.01   9.62  10.20  13.06        36.89
 24   412  1054  1004  1212       3682   3.80   9.80  11.09  12.58        37.27
  1   430  1009  1006  1162       3607   3.70   7.45   8.69  10.55        30.40
  2   309  1014   998  1149       3470   2.91   7.56   7.46  12.09        30.01
  3    38   969   731  1103       2841   1.59   8.00   5.58  13.19        28.37
  4    15   955   547  1090       2607   0.79   7.58   3.94   9.90        22.20
  5    49  1018   537  1099       2703   0.59   9.42   4.44  13.12        27.57
  6     6   605   505  1087       2203   0.04   4.63   3.80  11.69        20.16
  7     8     9     9   947        973   0.08   0.09   0.35  10.24        10.77
  8    52    92    93   906       1143   1.27   2.30   1.96   8.87        14.40
  9    14    53    24   573        664   0.30   1.17   0.56   4.65         6.69
 10     3     3     3    16         25   0.02   0.06   0.02   1.18         1.29
 11     6     6     8   101        121   0.08   0.24   0.45   3.29         4.05
 12     8    16    18     5         47   0.16   0.60   1.58   1.20         3.54
 13    37    79    91     0        207   2.90   6.55   7.11   0.13        16.68
 14   112   265   350     0        727   6.31  21.60  24.03   0.00        51.95
 15   122   333   360    16        831   7.97  22.28  26.28   0.97        57.50
 16   171   343   348   110        972  11.10  25.26  27.41   7.33        71.10
 17   132   383   354   173       1042   8.57  25.56  25.09  13.43        72.65
 18    97   239   308   387       1031   3.60  15.19  15.81  11.84        46.43
 19    91   212   269   150        722   4.94  17.84  14.96  10.88        48.62
 20   206   514   600   255       1575  12.88  38.35  35.93  14.60       101.76
 21   147   417   482   166       1212  11.69  39.17  36.38  13.08       100.32
 22   133   378   366   187       1064   8.58  33.08  33.87  15.20        90.73
 23    48   142   171   208        569   4.79  18.18  20.09  17.96        61.03
 24    27    85    96   174        382   3.09  10.77   8.61  12.07        34.53
