SAN FRANCISCO
-------------
 
DATE
----
871229
871230
871231
880101
880102
880103
880104
880105
880106
880107
880108
880109
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1     2237      862             3099    37.37     6.74            44.11
  2     2089      880             2969    24.18     7.00            31.18
  3     1424      835             2259    13.38     7.72            21.10
  4     1271      811             2082    15.66     6.39            22.05
  5     1267      835             2102    14.37     6.48            20.85
  6     1266      822             2088    11.57     5.80            17.36
  7     1172      808             1980     9.01     5.45            14.46
  8     1076      354             1430     9.51     3.69            13.20
  9      270       19              289     5.03     0.37             5.40
 10      256        8              264     4.99     0.14             5.13
 11      175       21              196     2.56     0.25             2.81
 12      686       74              760     5.54     1.00             6.55
 13     1186      871             2057    12.70     7.39            20.09
 14     1633      986             2619    25.20    15.40            40.60
 15     2662     1084             3746    64.65    19.30            83.94
 16     2885     1991             4876    82.39    29.27           111.67
 17     2925     2103             5028   128.41    42.85           171.26
 18     2782     1968             4750    88.22    29.49           117.71
 19     2717     1895             4612    60.89    22.60            83.49
 20     2752     2039             4791    70.07    27.49            97.57
 21     2804     2101             4905    78.49    34.66           113.14
 22     2798     2107             4905    77.57    36.34           113.90
 23     2798     1973             4771    77.22    31.92           109.13
 24     2435     1423             3858    46.47    17.55            64.02
  1     2190      942             3132    28.75     9.10            37.84
  2     2111      936             3047    23.07     8.15            31.21
  3     2013      905             2918    17.55     7.51            25.06
  4     1290      866             2156    10.41     6.79            17.20
  5     1258      869             2127     9.41     6.73            16.14
  6     1290      865             2155    10.76     7.13            17.89
  7     1178      422             1600     8.32     3.68            12.00
  8     1067      262             1329     8.62     3.62            12.24
  9      817       24              841     9.24     0.38             9.62
 10      777       12              789     8.18     0.22             8.40
 11      590       10              600     5.48     0.30             5.78
 12       14        8               22     0.91     0.32             1.22
 13       66       37              103     4.10     2.82             6.91
 14      282      255              537    18.18    14.38            32.56
 15      845      537             1382    64.88    19.40            84.28
 16      994      605             1599    75.36    20.80            96.16
 17     1058      695             1753   117.53    35.72           153.26
 18      819      588             1407    70.57    19.74            90.31
 19      720      525             1245    47.75    11.52            59.27
 20      705      660             1365    56.43    19.79            76.22
 21      753      667             1420    59.58    21.62            81.20
 22      717      672             1389    59.78    20.06            79.84
 23      635      577             1212    51.41    14.66            66.08
 24      338      262              600    21.33     4.38            25.71
  1        0        0                0     0.00     0.00             0.00
  2        0        0                0     0.00     0.00             0.00
  3        0        0                0     0.00     0.00             0.00
  4        0        0                0     0.00     0.00             0.00
  5        0        0                0     0.00     0.00             0.00
  6        0        0                0     0.00     0.00             0.00
  7        0        0                0     0.00     0.00             0.00
  8        0        0                0     0.00     0.00             0.00
  9        0        0                0     0.00     0.00             0.00
 10        0        0                0     0.00     0.00             0.00
 11        0        0                0     0.00     0.00             0.00
 12        0        0                0     0.00     0.00             0.00
 13        0        0                0     0.00     0.00             0.00
 14        0        0                0     0.00     0.00             0.00
 15        0        0                0     0.00     0.00             0.00
 16        0        0                0     0.00     0.00             0.00
 17        0        0                0     0.00     0.00             0.00
 18        0        0                0     0.00     0.00             0.00
 19        4        0                4     0.07     0.00             0.07
 20        3        2                5     0.04     0.02             0.05
 21        1        0                1     0.01     0.00             0.01
 22        1        1                2     0.01     0.68             0.69
 23        1        1                2     0.01     1.01             1.02
 24        8        1                9     1.01     1.01             2.01
  1       78       28              106     4.42     1.61             6.02
  2       55       31               86     1.23     0.61             1.84
