SAN FRANCISCO
-------------
 
DATE
----
871119
871120
871121
871122
871123
871124
871125
871126
871127
871128
871129
871130
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1     2819     1684             4503    48.49    23.05            71.54
  2     2745     1645             4390    30.55    18.24            48.79
  3     2617     1445             4062    25.26    14.56            39.82
  4     1378     1154             2532    14.95    17.16            32.11
  5     1247     1242             2489    13.37    14.25            27.62
  6     1231     1117             2348    11.15     9.00            20.15
  7     1130     1073             2203     7.85     8.06            15.91
  8     1184      958             2142     9.57    12.33            21.91
  9     1276      504             1780    10.84     5.31            16.15
 10      761      530             1291     7.97     4.07            12.04
 11      721      509             1230     5.69     4.28             9.98
 12     1214      925             2139     7.77     7.36            15.14
 13     1412     1681             3093    11.55    25.18            36.74
 14     2738     2749             5487    54.27    48.37           102.63
 15     3205     2878             6083    92.70    62.25           154.95
 16     3284     3017             6301   100.36    63.71           164.07
 17     3223     2978             6201    98.34    61.73           160.07
 18     3176     2738             5914    87.74    45.91           133.65
 19     3074     2787             5861    77.95    49.34           127.29
 20     3186     2967             6153    87.30    62.75           150.05
 21     3300     3049             6349    94.75    68.18           162.93
 22     3240     2966             6206    91.92    60.51           152.44
 23     3097     2589             5686    80.48    38.50           118.98
 24     2683     2389             5072    48.66    24.27            72.93
  1     2382     2357             4739    29.10    23.65            52.75
  2     2309     2338             4647    25.37    21.75            47.12
  3     2240     1725             3965    21.44    15.57            37.01
  4     1444     1182             2626    13.03    11.68            24.71
  5     1500     1315             2815    13.10    13.21            26.32
  6     1446     1137             2583    11.57    10.01            21.58
  7     1346     1087             2433     9.67     8.29            17.96
  8     1349      823             2172    10.50     9.64            20.14
  9     1184      591             1775    10.60     5.45            16.05
 10      817      510             1327     7.98     3.32            11.29
 11     1205      506             1711     8.56     3.43            12.00
 12     1396      697             2093     8.83     5.06            13.89
 13     1473      846             2319    11.34     8.45            19.78
 14     1996      982             2978    29.46    17.65            47.10
 15     3377     1414             4791    72.51    24.60            97.11
 16     3569     1643             5212    81.27    24.83           106.11
 17     3556     1684             5240    81.14    24.35           105.49
 18     3493     1637             5130    75.31    23.12            98.43
 19     3188     1622             4810    61.03    20.24            81.27
 20     2787     1741             4528    72.65    29.32           101.97
 21     2775     3450             6225    75.21    43.39           118.59
 22     2836     1780             4616    75.21    31.56           106.77
 23     2766     1622             4388    64.79    21.78            86.57
 24     2023     1107             3130    38.55     8.66            47.21
  1     1854     1232             3086    23.26     8.99            32.25
  2     1830     1184             3014    18.42     9.44            27.86
  3     1713      709             2422    12.34     5.71            18.05
  4     1255      327             1582     8.19     3.43            11.62
  5     1220      252             1472     8.80     2.51            11.31
  6     1194      221             1415     9.36     2.64            12.00
  7     1101      217             1318     8.41     2.37            10.78
  8     1161      222             1383     8.89     3.80            12.68
  9      704       94              798     8.13     1.47             9.61
 10      577       85              662     7.14     0.69             7.82
 11      668       40              708     4.80     0.30             5.09
 12     1641      428             2069    10.09     2.74            12.82
 13     2265     1188             3453    13.99     7.68            21.67
 14     2425     1226             3651    17.42     9.16            26.59
 15     2890     1257             4147    28.20    10.05            38.25
 16     3948     1572             5520    39.26    13.54            52.80
 17     4101     2264             6365    43.77    17.11            60.88
 18     4181     2429             6610    49.38    16.62            66.00
 19     4035     2431             6466    41.06    18.07            59.13
 20     4554     3143             7697    38.68    21.90            60.57
 21     4046     4105             8151    36.26    28.88            65.14
 22     4059     4105             8164    38.32    31.48            69.80
 23     3143     2681             5824    28.27    21.54            49.80
 24     3160     1821             4981    24.20    13.70            37.90
  1     2728     1791             4519    23.00    13.50            36.49
  2     2462     1373             3835    18.57     9.59            28.16
  3     2300     1202             3502    16.41     9.12            25.53
  4     2202     1130             3332    13.86     8.40            22.26
  5     2240     1231             3471    14.71     9.67            24.38
  6     2171      814             2985    15.14     5.39            20.53
  7     2095      667             2762    14.66     4.59            19.25
  8     1987      352             2339    14.63     3.43            18.07
  9     1803       23             1826    15.55     1.07            16.62
 10     1092        9             1101    11.12     0.13            11.25
 11     4328       12             4340    27.30     0.14            27.44
 12     6260       29             6289    38.26     0.28            38.55
 13     4291      608             4899    26.31     3.96            30.27
 14     1043      643             1686     7.00     4.68            11.68
 15     1142      637             1779     7.18     5.00            12.19
 16     1232      654             1886     8.63     5.74            14.37
 17     1232      665             1897     8.26     5.30            13.56
 18     1303      861             2164     9.36     6.33            15.70
 19     1417      911             2328    11.80     6.92            18.72
 20     1540      945             2485    14.19     7.37            21.57
 21     1639      941             2580    14.10     7.40            21.50
 22     1685      955             2640    12.86     7.69            20.55
 23     1562      919             2481    11.95     7.49            19.43
 24     1451      779             2230    11.37     6.62            17.99
  1      802      337             1139     7.65     4.25            11.90
  2      521      215              736     9.91     3.77            13.68
  3      521      206              727     9.39     2.55            11.94
  4      497      161              658     6.18     2.10             8.28
  5      541      180              721     6.63     2.26             8.88
  6      515      159              674     6.92     1.27             8.20
  7      367       26              393     4.95     0.27             5.23
  8      362       96              458     4.70     2.01             6.71
  9      497       20              517     7.08     0.38             7.46
 10      331       14              345     6.63     0.14             6.77
 11      222       15              237     3.17     0.45             3.61
 12      282      139              421     3.34     1.55             4.89
 13      348      752             1100     6.60     7.41            14.01
 14      856     1223             2079    20.03    16.23            36.26
 15     2067     1925             3992    52.71    27.09            79.79
 16     3858     2009             5867    80.05    34.28           114.33
 17     3541     1813             5354    80.46    32.51           112.97
 18     3355     1761             5116    73.91    28.49           102.40
 19     3760     2254             6014    85.73    50.27           135.99
 20     3742     2232             5974    89.48    59.01           148.48
 21     3782     2042             5824    93.66    53.25           146.91
