rotary~ 22/782-9329        ~0000002040~1 ~016~L~                    ~Y~N~Y~A ~002435~01/01/92~ ~00
rotary~DU/105579/004/00001 ~0000013757~  ~008~L~LONG BEACH          ~Y~N~Y~P ~105579~09/02/92~3~01
rotary~DU/105622/004/00001 ~0000014016~  ~008~L~AUGUSTA             ~Y~N~Y~P ~105622~09/03/92~3~01
rotary~DU/105622/005/00001 ~0000014015~  ~034~L~AUGUSTA             ~Y~Y~Y~P ~105622~09/03/92~1~01
rotary~DU/105625/003/00001 ~0000014006~  ~008~L~GADSDEN             ~Y~N~Y~P ~105625~09/02/92~3~01
rotary~DU/105643/001/00001 ~0000014012~  ~008~L~RANDOLPH 9600       ~Y~N~Y~P ~105643~09/02/92~3~01
rotary~DU/106593/004/00001 ~0000014030~  ~021~L~BINGHAMTON 2400     ~Y~Y~Y~P ~106593~09/04/92~1~01
rotary~DU/106599/002/00001 ~0000014031~  ~008~L~LAS CRUCES          ~Y~N~Y~P ~106599~09/04/92~3~01
rotary~DU/106641/001/00001 ~0000014054~  ~008~L~SAN CLEMENTE        ~Y~N~Y~P ~106641~09/08/92~3~01
rotary~DU/106668/001/00001 ~0000014067~  ~008~L~STOCKTON            ~Y~N~Y~P ~106668~09/09/92~3~01
rotary~DU/106697/007/00001 ~0000002316~  ~016~ ~ROTARY*PRI          ~Y~N~Y~P ~106697~09/10/92~1~01
rotary~DU/106698/001/00001 ~0000002323~  ~016~ ~ROTARY*BRI          ~Y~N~Y~P ~106698~09/10/92~1~01
rotary~DU/106704/001/00001 ~0000014072~  ~008~L~VALLEJO9600         ~Y~N~Y~P ~106704~09/10/92~3~01
rotary~DU/106711/001/00001 ~0000014073~  ~008~H~DURHAM9600          ~Y~N~Y~P ~106711~09/10/92~3~01
rotary~DU/106760/001/00001 ~0000014077~  ~008~H~VANCOUVER 9600      ~Y~N~Y~P ~106760~09/10/92~3~01
rotary~DU/106760/003/00001 ~0000014107~  ~009~H~VANCOUVER 2400      ~Y~Y~Y~P ~106760~09/18/92~1~01
rotary~DU/106760/004/00001 ~0000003137~  ~009~H~VANCOUVER 2400      ~Y~N~Y~P ~106760~09/29/92~1~01
rotary~DU/106768/004/00001 ~0000014100~  ~008~M~PLEASANTON          ~Y~N~Y~P ~106768~09/11/92~3~01
rotary~DU/106793/001/00001 ~0000014103~  ~023~L~HIGH POINT2400      ~Y~Y~Y~P ~106793~09/11/92~1~01
rotary~DU/106832/006/00001 ~0000005350~  ~008~L~SPRINGFIELD         ~Y~N~Y~P ~106832~09/15/92~3~01
rotary~DU/106844/005/00001 ~0000003321~  ~008~L~LOWELL              ~Y~N~Y~P ~106844~09/14/92~3~01
rotary~DU/106850/002/00001 ~0000012477~  ~008~L~BAKERSFIELD         ~Y~N~Y~P ~106850~09/14/92~3~01
rotary~DU/106858/002/00001 ~0000014114~  ~008~M~LANSING             ~Y~N~Y~P ~106858~09/14/92~3~01
rotary~DU/106866/002/00001 ~0000014117~  ~008~M~WICHITA             ~Y~N~Y~P ~106866~09/14/92~3~01
rotary~DU/106869/001/00001 ~0000014122~  ~008~L~MARLBOROUGH 9600    ~Y~N~Y~P ~106869~09/14/92~3~01
rotary~DU/106908/003/00001 ~0000014127~  ~047~ ~TOPEKA              ~Y~Y~Y~P ~106908~09/16/92~1~01
rotary~DU/106908/004/00001 ~0000014130~  ~008~ ~TOPEKA              ~Y~N~Y~P ~106908~09/16/92~3~01
rotary~DU/106909/004/00001 ~0000014133~  ~008~L~GARY9600            ~Y~N~Y~P ~106909~09/15/92~3~01
rotary~DU/106913/006/00001 ~0000014136~  ~008~L~CHARLESTON 9600     ~Y~N~Y~P ~106913~09/16/92~3~01
rotary~DU/106914/003/00001 ~0000014151~  ~008~L~SANTA ROSA          ~Y~N~Y~P ~106914~09/21/92~3~01
rotary~DU/106927/001/00001 ~0000013136~  ~008~M~LOUISVILLE9600      ~Y~N~Y~P ~106927~09/16/92~3~01
rotary~DU/106936/003/00001 ~0000013137~  ~008~M~EL PASO             ~Y~N~Y~P ~106936~09/16/92~3~01
rotary~DU/106998/001/00001 ~0000014150~  ~008~M~WEST DES MOINES     ~Y~N~Y~P ~106998~09/18/92~3~01
rotary~DU/107040/004/00001 ~0000004513~  ~008~L~VANCOUVER           ~Y~N~Y~P ~107040~09/21/92~3~01
rotary~DU/107041/001/00001 ~0000014155~  ~037~L~GASTONIA2400        ~Y~Y~Y~P ~107041~09/21/92~1~01
rotary~DU/107041/002/00001 ~0000014156~  ~008~L~GASTONIA9600        ~Y~N~Y~P ~107041~09/21/92~3~01
rotary~DU/107046/002/00001 ~0000014000~  ~008~M~OMAHA 9600          ~Y~N~Y~P ~107046~09/21/92~3~01
rotary~DU/107049/001/00001 ~0000014157~  ~008~L~SALEM               ~Y~N~Y~P ~107049~09/21/92~3~01
rotary~DU/107053/002/00001 ~0000014160~  ~008~M~BOISE CITY          ~Y~N~Y~P ~107053~09/21/92~3~01
rotary~DU/107055/001/00001 ~0000014161~  ~008~L~CANTON 9600         ~Y~N~Y~P ~107055~09/21/92~3~01
rotary~DU/107057/002/00001 ~0000014162~  ~008~L~MONTEREY            ~Y~N~Y~P ~107057~09/21/92~3~01
rotary~DU/107068/006/00001 ~0000014163~  ~031~L~WHEELING 2400BPS    ~Y~Y~Y~P ~107068~09/22/92~1~01
rotary~DU/107078/001/00001 ~0000003230~  ~008~L~TACOMA              ~Y~N~Y~P ~107078~09/22/92~3~01
rotary~DU/107080/007/00001 ~0000014166~  ~008~L~ATHEN 9600          ~Y~N~Y~P ~107080~09/22/92~3~01
rotary~DU/107085/001/00001 ~0000014165~  ~008~M~SANTA CRUZ          ~Y~N~Y~P ~107085~09/22/92~3~01
rotary~DU/107111/002/00001 ~0000014253~  ~008~L~LINCOLN             ~Y~N~Y~P ~107111~10/02/92~3~01
rotary~DU/107122/001/00001 ~0000007060~  ~031~L~TEXARKANA           ~Y~Y~Y~P ~107122~09/23/92~1~01
rotary~DU/107133/001/00001 ~0000014173~  ~035~L~CORVALLIS           ~Y~Y~Y~P ~107133~09/23/92~1~01
rotary~DU/107134/001/00001 ~0000014172~  ~008~L~ABERDEEN 9600       ~Y~N~Y~P ~107134~09/23/92~3~01
rotary~DU/107149/004/00001 ~0000014175~  ~008~L~GEORGETOWN 9600     ~Y~N~Y~P ~107149~09/24/92~3~01
rotary~DU/107168/003/00001 ~0000006675~  ~008~H~MADISON9600         ~Y~N~Y~P ~107168~09/24/92~3~01
rotary~DU/107209/002/00001 ~0000014177~  ~008~L~LAKELAND9600        ~Y~N~Y~P ~107209~09/24/92~3~01
rotary~DU/107216/001/00001 ~0000014203~  ~008~L~ROANOKE 9600        ~Y~N~Y~P ~107216~09/25/92~3~01
rotary~DU/107272/001/00001 ~0000014210~  ~008~L~FT. WAYNE9600       ~Y~N~Y~P ~107272~09/26/92~3~01
rotary~DU/107278/003/00001 ~0000014212~  ~008~M~LOVES PARK9600      ~Y~N~Y~P ~107278~09/28/92~3~01
rotary~DU/107284/003/00001 ~0000014215~  ~008~L~URBANA              ~Y~N~Y~P ~107284~09/28/92~3~01
rotary~DU/107293/005/00001 ~0000014222~  ~008~M~SOUTH BEND          ~Y~N~Y~P ~107293~09/28/92~3~01
rotary~DU/107296/004/00001 ~0000014220~  ~008~L~SALINAS             ~Y~N~Y~P ~107296~09/28/92~3~01
rotary~DU/107302/002/00001 ~0000006013~  ~008~L~RED BANK 9600       ~Y~N~Y~P ~107302~09/29/92~3~01
rotary~DU/107306/002/00001 ~0000014224~  ~008~L~GAINESVILLE         ~Y~N~Y~P ~107306~09/28/92~3~01
rotary~DU/107310/002/00001 ~0000002437~  ~008~L~WARNER ROBINS9600   ~Y~N~Y~P ~107310~09/29/92~3~01
rotary~DU/107322/002/00001 ~0000003043~  ~008~L~TYLER               ~Y~N~Y~P ~107322~10/15/92~3~01
rotary~DU/107323/001/00001 ~0000003044~  ~008~L~SAN LUIS OBISPO     ~Y~N~Y~P ~107323~09/29/92~3~01
rotary~DU/107331/002/00001 ~0000005073~  ~008~M~ROCK ISLAND9600     ~Y~N~Y~P ~107331~09/29/92~3~01
rotary~DU/107333/001/00001 ~0000006012~  ~008~L~BURTON              ~Y~N~Y~P ~107333~09/29/92~3~01
rotary~DU/107335/002/00001 ~0000014262~  ~008~L~AURORA              ~Y~N~Y~P ~107335~10/02/92~3~01
rotary~DU/107348/001/00001 ~0000006454~  ~008~M~AKRON 9600          ~Y~N~Y~P ~107348~09/30/92~3~01
rotary~DU/107357/001/00001 ~0000013170~  ~016~ ~HANNOVER            ~Y~N~N~P ~107357~09/30/92~1~01
rotary~DU/107363/004/00001 ~0000005311~  ~008~M~LEXINGTON           ~Y~N~Y~P ~107363~10/01/92~3~01
rotary~DU/107373/002/00001 ~0000006637~  ~008~L~EUREKA              ~Y~N~Y~P ~107373~09/30/92~3~01
rotary~DU/107376/003/00001 ~0000010600~  ~008~L~LANCASTER           ~Y~N~Y~P ~107376~10/01/92~3~01
rotary~DU/107384/002/00001 ~0000011310~  ~008~L~CHARLOTTESVILLE 9600~Y~N~Y~P ~107384~09/30/92~3~01
rotary~DU/107385/007/00001 ~0000014250~  ~008~L~DANBURY 9600        ~Y~N~Y~P ~107385~10/02/92~3~01
rotary~DU/107415/001/00001 ~0000014252~  ~008~L~YORK                ~Y~N~Y~P ~107415~10/01/92~3~01
rotary~DU/107434/001/00001 ~0000014254~  ~008~M~SPRINGFIELD9600     ~Y~N~Y~P ~107434~10/02/92~3~01
rotary~DU/107456/002/00001 ~0000014263~  ~008~L~ALEXANDRIA          ~Y~N~Y~P ~107456~10/03/92~3~01
rotary~DU/107457/003/00001 ~0000014264~  ~008~L~LANCASTER           ~Y~N~Y~P ~107457~10/03/92~3~01
rotary~DU/108363/002/00001 ~0000014272~  ~008~L~SLIDELL9600         ~Y~N~Y~P ~108363~10/05/92~3~01
rotary~DU/108366/002/00001 ~0000014275~  ~008~L~BILLINGS            ~Y~N~Y~P ~108366~10/05/92~3~01
rotary~DU/108378/001/00001 ~0000014276~  ~008~L~DULUTH              ~Y~N~Y~P ~108378~10/05/92~3~01
rotary~DU/108383/001/00001 ~0000014277~  ~008~L~MYRTLE BEACH        ~Y~N~Y~P ~108383~10/05/92~3~01
rotary~DU/108429/002/00001 ~0000010133~  ~008~L~ERIE                ~Y~N~Y~P ~108429~10/07/92~3~01
rotary~DU/108472/002/00001 ~0000014142~  ~008~L~SHREVEPORT          ~Y~N~Y~P ~108472~10/07/92~3~01
rotary~DU/108502/002/00001 ~0000014307~  ~008~L~LAKE CHARLES        ~Y~N~Y~P ~108502~10/08/92~3~01
rotary~DU/108593/001/00001 ~0000004402~  ~008~L~MODESTO             ~Y~N~Y~P ~108593~10/12/92~3~01
rotary~DU/108594/002/00001 ~0000014043~  ~008~M~BRIDGEPORT          ~Y~N~Y~P ~108594~10/13/92~3~01
rotary~DU/108627/001/00001 ~0000014325~  ~008~M~CARSON CITY         ~Y~N~Y~P ~108627~10/13/92~3~01
rotary~DU/108745/001/00001 ~0000014362~  ~008~M~BATON ROUGE         ~Y~N~Y~P ~108745~10/15/92~3~01
rotary~DU/108752/001/00001 ~0000014363~  ~008~L~GREEN BAY           ~Y~N~Y~P ~108752~10/15/92~3~01
rotary~DU/108846/001/00001 ~0000014154~  ~001~ ~                    ~ ~ ~ ~P ~108846~10/20/92~1~01
rotary~DU/108860/001/00001 ~0000014374~  ~008~L~ATLANTIC 9600       ~Y~N~Y~P ~108860~10/20/92~3~01
rotary~DU/108861/003/00001 ~0000010267~  ~008~M~SPRINGFIELD 9600    ~Y~N~Y~P ~108861~10/20/92~3~01
rotary~GB1101936           ~0000004252~  ~008~L~MONTGOMERY          ~Y~N~Y~P ~104783~08/17/92~4~01
rotary~SD/108613/003/00001 ~0000010150~  ~002~H~MISSION             ~Y~N~Y~P ~108613~10/16/92~4~01
rotary~SD/108747/003/00001 ~0000003057~  ~002~H~SAN DIEGO           ~Y~N~Y~P ~108747~10/15/92~4~01
rotary~SD/108755/003/00001 ~0000005461~  ~002~H~NEWPORT BEACH       ~Y~N~Y~P ~108755~10/15/92~4~01
rotary~001/631-0252        ~0000002452~1 ~001~ ~TELEX LYON          ~N~N~N~A ~070220~01/01/92~ ~00
rotary~001/679-8924        ~0000006562~1 ~008~M~DUBLIN PUBLIC       ~Y~N~Y~A ~061973~01/01/92~ ~00
rotary~002/282-9802        ~0000005655~1 ~002~I~GENEVA 2400         ~Y~N~N~A ~000001~01/01/92~1~01
rotary~004/315-0144        ~0000004652~1 ~035~M~VIENNA              ~Y~N~Y~UG~107386~10/01/92~ ~00
rotary~006/536-0051        ~0000011720~1 ~008~I~TYMNET              ~Y~N~N~A ~051963~01/01/92~ ~00
rotary~007/047-5032        ~0000006111~1 ~008~I~THEHAGUE-3SPD       ~Y~N~N~A ~051847~01/01/92~1~01
rotary~007/081-4641        ~0000006111~1 ~008~I~THEHAGUE-1200       ~Y~N~N~A ~051847~08/30/89~ ~00
rotary~014/697-1692        ~0000012650~1 ~004~ ~BTT                 ~N~N~N~A ~064551~04/17/92~1~01
rotary~014/697-9971        ~0000012207~1 ~002~ ~TOTAL CFP           ~N~N~N~A ~062074~01/01/92~ ~00
rotary~020/661-0094        ~0000004274~1 ~008~I~AMSTERDAM 2400      ~Y~N~N~A ~056339~01/01/92~ ~00
rotary~021/159-6871        ~0000011375~1 ~008~M~DUSSE 3/24          ~Y~N~N~A ~057524~01/01/92~ ~00
rotary~022/121-0196        ~0000010124~1 ~008~M~COLOGNE             ~Y~N~Y~A ~071149~01/01/92~2~01
rotary~022/384-3279        ~0000012010~1 ~004~H~CAMBRIDGE EDI       ~Y~N~Y~A ~067889~07/16/91~ ~00
rotary~022/384-4597        ~0000010607~1 ~006~M~BTTUK-MNS           ~N~N~Y~A ~071199~12/18/90~1~01
rotary~022/384-5360        ~0000011700~1 ~016~M~CAMBRIDGE           ~Y~N~Y~A ~067889~01/01/92~ ~00
rotary~023/223-4467        ~0000013511~1 ~017~M~BELFAST             ~Y~N~Y~A ~067892~01/01/92~ ~00
rotary~023/223-9622        ~0000013512~1 ~004~H~BELFAST EDI         ~Y~N~Y~A ~067892~07/16/91~ ~00
rotary~026/698-2078        ~0000013661~1 ~001~ ~RAPS POLLER         ~N~Y~N~A ~070669~01/01/92~2~01
rotary~026/698-3004        ~0000002027~1 ~013~M~MILAN               ~Y~N~Y~A ~074594~01/01/92~1~01
rotary~027/225-7472        ~0000013514~1 ~004~H~BRISTOL EDI         ~Y~N~Y~A ~067890~07/16/91~ ~00
rotary~031/226-3120        ~0000005024~1 ~004~M~ANTWERP V32         ~Y~N~N~A ~073138~01/01/92~1~01
rotary~031/313-2172        ~0000013455~1 ~016~H~EDINBURGH           ~Y~N~Y~A ~070030~01/01/92~ ~00
rotary~031/313-4856        ~0000013454~1 ~004~H~EDINBURGH EDI       ~Y~N~Y~A ~070030~10/19/91~ ~00
rotary~033/161-6538        ~0000002472~1 ~005~ ~BTT                 ~N~N~N~A ~064551~01/01/92~ ~00
rotary~039/248-0125        ~0000013452~1 ~008~M~TURIN               ~Y~N~Y~A ~067061~01/01/92~ ~00
rotary~040/251-4037        ~0000011745~1 ~008~M~                    ~Y~N~N~A ~072700~01/01/92~2~01
rotary~042/117-0997        ~0000012036~1 ~004~H~BREMEN              ~Y~N~N~A ~071975~01/01/92~ ~00
rotary~053/234-1838        ~0000013507~1 ~016~M~LEEDS ROTARY        ~Y~N~Y~A ~067706~01/01/92~ ~00
rotary~053/245-1574        ~0000013510~1 ~004~M~LEEDS EDI ROTA      ~Y~N~Y~A ~067706~07/04/91~ ~00
rotary~061/834-4543        ~0000012266~1 ~008~H~TYMDIAL MANCH       ~Y~N~Y~A ~067872~01/01/92~ ~00
rotary~061/964-4962        ~0000004105~1 ~001~ ~RAPS POLLER         ~N~N~N~A ~070668~01/01/92~1~01
rotary~061/964-8738        ~0000005165~1 ~002~I~ESCHBORN 3-24       ~Y~N~Y~A ~061718~01/01/92~ ~00
rotary~061/964-8908        ~0000005165~1 ~002~M~                    ~Y~N~N~A ~061718~01/01/92~ ~00
rotary~069/507-6736        ~0000013224~1 ~016~M~bonamise            ~Y~N~Y~A ~065652~01/01/92~1~01
rotary~071/172-7935        ~0000013262~1 ~005~M~STUTTGART           ~Y~N~Y~A ~066027~01/01/92~ ~00
rotary~071/489-8571        ~0000011225~1 ~008~M~PUBLIC              ~Y~N~Y~A ~054682~01/01/92~ ~00
rotary~081/566-7260        ~0000011361~1 ~008~H~EALING              ~Y~N~Y~A ~065273~01/01/92~ ~00
rotary~081/566-7620        ~0000011074~1 ~005~H~EALING              ~Y~N~Y~A ~065273~01/01/92~1~01
rotary~081/649-8266        ~0000010535~1 ~008~M~CROYDON             ~YA ~067888~01/01/92~ ~00
rotary~081/688-9116        ~0000003454~1 ~004~ ~                    ~N~N~N~A ~062074~01/01/92~ ~00
rotary~089/129-6081        ~0000011465~1 ~012~M~BTT MUNICH          ~Y~N~Y~A ~064627~01/01/92~ ~00
rotary~103/504-1000        ~0000007270~1 ~008~M~GIBRALTAR           ~Y~N~Y~A ~066962~01/01/92~ ~00
rotary~120/661-2799        ~0000004274~1 ~012~M~AMSTERDAM           ~Y~N~Y~A ~067373~01/01/92~ ~00
rotary~201-816-1551        ~0000006037~  ~001~ ~                    ~ ~ ~ ~A ~104731~09/17/92~1~01
rotary~201/267-6728        ~0000013242~1 ~001~ ~QUOTRON             ~N~N~Y~A ~007701~01/01/92~1~01
rotary~201/539-1222        ~0000013242~1 ~035~L~MORRISTOWN 2400     ~Y~Y~Y~A ~063745~09/18/86~1~01
rotary~201/567-8951        ~0000006037~1 ~024~M~ENGLEWOOD  2400     ~Y~Y~Y~A ~041882~01/01/92~1~01
rotary~201/567-9841        ~0000006035~1 ~024~M~ENGLEWOOD           ~Y~N~N~A ~040338~02/22/85~1~01
rotary~201/617-9069        ~0000011305~1 ~008~H~UNION CITY TYMD     ~Y~N~Y~UG~108659~10/13/92~3~01
rotary~201/617-9103        ~0000011305~1 ~002~H~UNION CITY TYMX     ~1~N~Y~A ~054419~02/08/91~4~01
rotary~201/617-9110        ~0000011305~1 ~002~H~UNION CITY TYMX     ~1~N~Y~A ~054419~02/08/91~4~01
rotary~201/742-0752        ~0000005456~1 ~032~M~PATERSON 2400       ~Y~Y~Y~A ~014510~02/01/86~1~01
rotary~201/824-1212        ~0000002606~1 ~062~H~NEWARK              ~Y~N~N~A ~008211~05/15/84~1~01
rotary~201/824-1263        ~0000002606~1 ~001~M~NETECH COM.         ~N~N~N~A ~069728~11/01/85~1~01
rotary~201/824-3044        ~0000013227~1 ~064~H~NEWARK 2400         ~Y~Y~Y~A ~065093~06/01/85~1~01
rotary~201/824-3044        ~0000013226~1 ~064~H~NEWARK 2400         ~Y~Y~Y~A ~065093~06/01/85~1~01
rotary~201/824-4128        ~0000010110~1 ~002~H~NEWARK TYMX25       ~1~N~Y~A ~052092~01/08/90~4~01
rotary~201/824-4130        ~0000010110~1 ~002~H~NEWARK TYMX25       ~1~N~Y~A ~052092~01/08/90~4~01
rotary~201/824-4201        ~0000002340~1 ~024~H~NEWARK TYMDIAL      ~1~N~Y~A ~070985~02/28/92~3~01
rotary~201/864-8468        ~0000007432~1 ~027~H~UNION CITY 2400     ~Y~Y~Y~A ~015387~01/01/92~1~01
rotary~203/223-3000        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/242-1986        ~0000004304~1 ~037~H~BLOOMFIELD 2400     ~Y~Y~Y~A ~030441~08/06/84~1~01
rotary~203/242-7140        ~0000002357~1 ~041~H~BLOOMFIELD          ~Y~N~N~A ~000000~03/04/83~1~01
rotary~203/243-8778        ~0000002357~1 ~001~M~AMERICAN AIRLIN     ~N~N~N~A ~012453~04/01/85~1~01
rotary~203/243-9446        ~0000003557~1 ~024~H~BLOOMFIELD TYMD     ~1~N~Y~A ~102282~01/04/90~3~01
rotary~203/286-0712        ~0000005333~1 ~002~H~BLOOMFIELD TYMX     ~1~N~Y~A ~043834~09/22/88~4~01
rotary~203/324-2297        ~0000002752~1 ~008~H~STAMFORD TYMDIA     ~Y~N~Y~UG~108458~10/07/92~3~01
rotary~203/327-2974        ~0000011362~1 ~027~H~STAMFORD 2400       ~Y~Y~Y~A ~040502~05/01/85~1~01
rotary~203/332-7256        ~0000011275~1 ~026~M~BRIDGEPORT 2400     ~Y~Y~Y~UG~108594~10/13/92~1~01
rotary~203/346-4500        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/355-3282        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/388-1461        ~0000002315~1 ~000~M~CONNNET             ~Y~N~ ~A ~000001~01/01/92~ ~00
rotary~203/429-3282        ~0000002315~1 ~000~L~                    ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/442-3282        ~0000002315~1 ~000~L~NEW LONDON          ~Y~N~ ~A ~000004~01/01/92~ ~00
rotary~203/443-7338        ~0000004040~1 ~001~ ~QUOTRON             ~N~N~Y~A ~072877~01/01/92~1~01
rotary~203/444-7030        ~0000004040~1 ~023~M~NEW LONDON 2400     ~Y~Y~Y~A ~042817~01/01/92~1~01
rotary~203/454-2129        ~0000010113~1 ~026~M~WESTPORT 2400       ~Y~Y~Y~A ~016828~03/18/86~1~01
